数据库：年度数据
时间：最近10年
指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年
水资源总量(亿立方米),27088.1,29638.2,31605.2,29041.0,27462.5,28761.2,32466.4,27962.6,27266.9,27957.9
地表水资源量(亿立方米),25984.4,28310.5,30407.0,27993.3,26323.2,27746.3,31273.9,26900.8,26263.9,26839.5
地下水资源量(亿立方米),7924.4,8195.7,8553.5,8191.5,8246.5,8309.6,8854.8,7797.0,7745.0,8081.1
地表水与地下水资源重复量(亿立方米),6820.7,6868.0,7355.3,7143.8,7107.2,7294.7,7662.3,6735.2,6742.0,6962.7
人均水资源量(立方米/人),1918.2,2098.5,2239.8,2062.9,1957.7,2059.9,2339.4,2026.5,1987.6,2050.8
数据来源：国家统计局
