数据库：年度数据
时间：最近10年
指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年
林业用地面积(万公顷),32368.55,32368.55,32368.55,32368.55,32368.55,32368.55,32368.55,32368.55,32368.55,31259.00
森林面积(万公顷),22044.62,22044.62,22044.62,22044.62,22044.62,22044.62,22044.62,22044.62,22044.62,20768.73
人工林面积(万公顷),8003.10,8003.10,8003.10,8003.10,8003.10,8003.10,8003.10,8003.10,8003.10,6933.38
森林覆盖率(%),23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,21.6
活立木总蓄积量(亿立方米),190.07,190.07,190.07,190.07,190.07,190.07,190.07,190.07,190.07,164.33
森林蓄积量(亿立方米),175.60,175.60,175.60,175.60,175.60,175.60,175.60,175.60,175.60,151.37
注：1.数据分别为第七次全国森林资源清查(2004-2008)、第八次全国森林资源清查(2009-2013)、第九次全国森林资源清查(2014-2018)资料。
　　　2.除第九次清查林业用地面积数据，全国总计数包括台湾省和香港、澳门特别行政区数据。
数据来源：国家统计局
